type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 02:45:27,-33.91788609,151.23153142,8.66,41.251,22.181,0.082,252,26,47,20231013-134527,GPS Logger: 20231013-134527 - 111
T,2023-10-13 02:45:28,-33.91793250,151.23153155,4.90,44.966,22.181,0.289,178,27,47,,
T,2023-10-13 02:45:29,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,28,47,,
T,2023-10-13 02:45:30,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,30,47,,
T,2023-10-13 02:45:31,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,30,47,,
T,2023-10-13 02:45:32,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,31,47,,
T,2023-10-13 02:45:33,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,31,47,,
T,2023-10-13 02:45:34,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,31,47,,
T,2023-10-13 02:45:35,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,31,47,,
T,2023-10-13 02:45:36,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,31,47,,
T,2023-10-13 02:45:37,-33.91793250,151.23153155,4.90,44.966,22.181,0.000,,31,47,,
T,2023-10-13 02:45:38,-33.91792207,151.23151416,7.59,41.664,22.181,0.140,178,31,47,,
T,2023-10-13 02:45:39,-33.91792207,151.23151416,4.90,41.664,22.181,0.000,,31,47,,
T,2023-10-13 02:45:40,-33.91792207,151.23151416,4.90,41.664,22.181,0.000,,31,47,,
T,2023-10-13 02:45:41,-33.91792207,151.23151416,4.90,41.664,22.181,0.000,,31,47,,
T,2023-10-13 02:45:42,-33.91792207,151.23151416,4.90,41.664,22.181,0.000,,31,47,,
T,2023-10-13 02:45:43,-33.91792207,151.23151416,4.90,41.664,22.181,0.000,,31,47,,
T,2023-10-13 02:45:44,-33.91792207,151.23151416,4.90,41.664,22.181,0.000,,31,47,,
T,2023-10-13 02:45:45,-33.91792576,151.23151200,7.07,41.499,22.181,0.123,178,31,47,,
T,2023-10-13 02:45:46,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,31,47,,
T,2023-10-13 02:45:47,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,31,47,,
T,2023-10-13 02:45:48,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,31,47,,
T,2023-10-13 02:45:49,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,31,47,,
T,2023-10-13 02:45:50,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,31,47,,
T,2023-10-13 02:45:51,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,31,47,,
T,2023-10-13 02:45:52,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,30,47,,
T,2023-10-13 02:45:53,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,30,47,,
T,2023-10-13 02:45:54,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,30,47,,
T,2023-10-13 02:45:55,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,30,47,,
T,2023-10-13 02:45:56,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,30,47,,
T,2023-10-13 02:45:57,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,32,47,,
T,2023-10-13 02:45:58,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,33,47,,
T,2023-10-13 02:45:59,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,33,47,,
T,2023-10-13 02:46:00,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,33,47,,
T,2023-10-13 02:46:01,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,34,47,,
T,2023-10-13 02:46:02,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:03,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:04,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:05,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:06,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:07,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:08,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:09,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,35,47,,
T,2023-10-13 02:46:10,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,36,47,,
T,2023-10-13 02:46:11,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,36,47,,
T,2023-10-13 02:46:12,-33.91792576,151.23151200,4.90,41.499,22.181,0.000,,36,47,,
